Station,City,Name,Date,Wind_Avg,Rain,Snowfall,Snow_Depth,Temp_Avg
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",1/31/2016,8.5,0,0,5.1,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/1/2016,9.62,0,0,2,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/2/2016,5.59,0,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/3/2016,16.11,0.44,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/4/2016,9.62,0.04,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/5/2016,17.22,0.76,4.6,1.2,39
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/6/2016,8.5,0,0,3.9,33
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/7/2016,6.93,0,0,2,37
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/8/2016,15.21,0.16,1.7,1.2,36
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/9/2016,6.49,0,0,2,30
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/10/2016,12.97,0.02,0.1,1.2,35
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/11/2016,21.92,0,0,0,28
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/12/2016,11.86,0,0,0,22
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/13/2016,23.04,0,0,0,22
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/14/2016,14.32,0,0,0,8
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/15/2016,6.71,0.64,1.7,0,19
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/16/2016,18.34,0.47,0,0,46
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/17/2016,12.75,0,0,0,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/18/2016,15.21,0,0,0,35
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/19/2016,9.62,0,0,0,30
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/20/2016,13.87,0,0,0,46
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/21/2016,7.16,0.08,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/22/2016,7.38,0,0,0,45
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/23/2016,15.43,0.29,0,0,39
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/24/2016,19.01,1.05,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/25/2016,23.49,0.04,0,0,50
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/26/2016,20.58,0,0,0,38
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/27/2016,14.09,0,0,0,33
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/28/2016,14.76,0,0,0,43
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/29/2016,14.99,0.06,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/1/2016,13.87,0,0,0,46
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/2/2016,23.49,0.16,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/3/2016,12.08,0,0,0,32
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/4/2016,12.75,0.13,1.4,1.2,33
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/5/2016,9.17,0,0,0,35
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/6/2016,6.71,0,0,0,37
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/7/2016,12.3,0,0,0,42
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/8/2016,6.71,0,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/9/2016,5.37,0,0,0,50
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/10/2016,6.26,0,0,0,59
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/11/2016,12.3,0.02,0,0,61
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/12/2016,8.5,0,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/13/2016,8.05,0,0,0,55
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/14/2016,17.22,0.47,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/15/2016,11.41,0,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/16/2016,6.49,0.01,0,0,50
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/17/2016,9.17,0,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/18/2016,16.55,0,0,0,52
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/19/2016,7.16,0,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/20/2016,10.74,0.03,0.1,0,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/21/2016,14.99,0.09,0.4,1.2,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/22/2016,16.78,0,0,0,43
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/23/2016,9.84,0,0,0,55
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/24/2016,12.97,0,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/25/2016,12.3,0,0,0,52
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/26/2016,10.74,0,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/27/2016,9.84,0,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/28/2016,16.33,0.48,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/29/2016,24.61,0,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/30/2016,12.08,0,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/31/2016,20.58,0,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/1/2016,14.76,0.02,0,0,56
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/2/2016,11.18,0.27,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/3/2016,23.26,0.1,0,0,42
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/4/2016,10.96,0.32,0,0,42
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/5/2016,16.11,0,0,0,34
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/6/2016,12.3,0,0,0,37
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/7/2016,19.69,0.06,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/8/2016,16.33,0,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/9/2016,10.96,0.09,0,0,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/10/2016,15.66,0,0,0,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/11/2016,21.7,0,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/12/2016,17.22,0.17,0,0,52
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/13/2016,8.5,0,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/14/2016,7.38,0,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/15/2016,6.93,0,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/16/2016,8.5,0,0,0,50
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/17/2016,7.16,0,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/18/2016,8.28,0,0,0,60
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/19/2016,14.54,0,0,0,63
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/20/2016,12.3,0,0,0,58
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/21/2016,13.2,0,0,0,54
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/22/2016,6.71,0.02,0,0,61
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/23/2016,12.3,0.12,0,0,64
