Station,City,Name,Date,Wind_Avg,Rain,Snowfall,Snow_Depth,Temp_Avg
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1/31/2016,17,0,0,0,52
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/1/2016,14.76,0,0,0,50
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/2/2016,9.17,0.18,0,0,50
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/3/2016,4.92,0,0,0,48
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/4/2016,5.82,0,0,0,52
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/5/2016,2.68,0,0,0,51
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/6/2016,2.91,0,0,0,53
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/7/2016,2.01,0,0,0,56
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/8/2016,4.7,0,0,0,60
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/9/2016,3.13,0,0,0,59
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/10/2016,2.68,0,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/11/2016,6.49,0,0,0,58
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/12/2016,9.17,0,0,0,56
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/13/2016,11.63,0,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/14/2016,10.51,0,0,0,57
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/15/2016,2.46,0,0,0,61
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/16/2016,2.01,0,0,0,62
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/17/2016,17.45,0.45,0,0,65
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/18/2016,12.75,0.17,0,0,55
USW00023234,SAN FRANCISCO CA,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2/19/2016,9.4,0.05,0,0,54
